data,feriado,classificação
25/01/2025,Aniversário da cidade de São Paulo,municipal
03/03/2025,Carnaval,ponto facultativo
05/03/2025,Carnaval,ponto facultativo
28/10/2025,Dia do Servidor Público,ponto facultativo
24/12/2025,Véspera de Natal,ponto facultativo após as 14h
31/12/2025,Véspera de Ano Novo,ponto facultativo após as 14h
01/01/2025,Confraternização mundial,national
04/03/2025,Carnaval,national
18/04/2025,Sexta-feira Santa,national
20/04/2025,Páscoa,national
21/04/2025,Tiradentes,national
01/05/2025,Dia do trabalho,national
19/06/2025,Corpus Christi,national
07/09/2025,Independência do Brasil,national
12/10/2025,Nossa Senhora Aparecida,national
02/11/2025,Finados,national
15/11/2025,Proclamação da República,national
20/11/2025,Dia da consciência negra,national
25/12/2025,Natal,national
